episode,step,action,reward,total_reward
0,1,31,-0.9950265120986447,-0.9950265120986447
0,2,32,-0.9876083633046027,-1.9826348754032472
0,3,31,-0.9796996968442349,-2.962334572247482
0,4,46,-0.9700791696795772,-3.9324137419270593
0,5,21,-0.9624409177245448,-4.894854659651604
0,6,9,-0.9581379972015117,-5.852992656853115
0,7,3,-0.958614452207877,-6.811607109060993
0,8,22,-0.9554863598089587,-7.767093468869952
0,9,3,-0.9578349634123802,-8.724928432282333
0,10,16,-0.9554965877522593,-9.680425020034592
0,11,6,-0.9566682691090638,-10.637093289143657
0,12,7,-0.9576923614800122,-11.594785650623669
0,13,7,-0.9587864986548701,-12.553572149278539
0,14,33,-0.9536759065470002,-13.507248055825539
0,15,16,-0.9502178218727737,-14.457465877698311
0,16,33,-0.9448502683860706,-15.402316146084383
0,17,36,-0.9384541268990478,-16.34077027298343
0,18,30,-0.9323954858115,-17.27316575879493
0,19,45,-0.9249532641776672,-18.198119022972598
0,20,29,-0.918609521988116,-19.116728544960715
0,21,19,-0.9143062180256785,-20.031034762986394
0,22,48,-0.9076916196336277,-20.938726382620022
0,23,12,-0.9042601267041289,-21.842986509324152
0,24,19,-0.9019967199819575,-22.74498322930611
0,25,44,-0.8966946552266353,-23.641677884532747
0,26,42,-0.8906943219862424,-24.53237220651899
0,27,0,-0.8900551252121613,-25.42242733173115
0,28,6,-100.89527781701312,-126.31770514874427
0,29,29,-0.8904258166064819,-127.20813096535075
0,30,35,-0.8855504620507872,-128.09368142740152
0,31,12,-0.8837951570710421,-128.97747658447256
0,32,29,-0.8809565698491509,-129.85843315432172
0,33,23,-0.8787002516876931,-130.7371334060094
0,34,20,-0.8771703835168057,-131.61430378952622
0,35,6,-100.88206857325495,-232.4963723627812
0,36,23,-0.8782349903227119,-233.3746073531039
0,37,43,-0.8730512526271865,-234.2476586057311
0,38,5,-0.8637344864623676,-235.11139309219345
0,39,14,-0.8497821483647461,-235.9611752405582
0,40,35,-0.8305140300097239,-236.79168927056793
0,41,16,-0.8069183395467194,-237.59860761011464
0,42,28,-0.7788931456066935,-238.37750075572134
0,43,44,-0.7463735943032643,-239.1238743500246
0,44,37,-0.7099272946686177,-239.83380164469324
0,45,30,-0.6700522781061482,-240.50385392279938
0,46,27,-0.6271269890250201,-241.1309809118244
0,47,17,-0.5917888874348542,-241.72276979925925
0,48,19,-0.5632019293719441,-242.2859717286312
0,49,34,-0.540298937863379,-242.8262706664946
0,50,28,-0.5227735286796982,-243.3490441951743
0,51,48,-0.5091983561876514,-243.85824255136194
0,52,23,-0.500526043015917,-244.35876859437786
0,53,19,-0.49669004192359234,-244.85545863630145
0,54,24,-0.49595103869786716,-245.3514096749993
0,55,7,-100.50306635233102,-345.8544760273303
0,56,48,-0.49544883215058455,-346.3499248594809
0,57,2,-0.49518082363534055,-346.84510568311623
0,58,28,-0.4942650977380725,-347.3393707808543
0,59,50,-0.49057396482015947,-347.8299447456745
0,60,48,-0.48696019190163475,-348.3169049375761
0,61,0,-100.49495751851144,-448.81186245608757
0,62,32,-0.48794280970696835,-449.29980526579453
0,63,38,-0.4837697037399442,-449.78357496953447
0,64,33,-0.4818852081221545,-450.2654601776566
0,65,23,-0.48255746955835044,-450.74801764721497
0,66,28,-0.48163422446837467,-451.22965187168336
0,67,13,-0.47907311227821414,-451.7087249839616
0,68,8,-0.4757743296141361,-452.1844993135757
0,69,35,-0.46958840511411826,-452.6540877186898
0,70,43,-0.46082500123567294,-453.1149127199255
0,71,12,-0.45166545644372524,-453.5665781763692
0,72,26,-0.4467419759998188,-454.01332015236903
0,73,49,-0.4448401914473492,-454.45816034381636
0,74,10,-0.44772409687316084,-454.90588444068953
0,75,44,-0.45378600098803834,-455.35967044167757
0,76,26,-0.46368111078595486,-455.8233515524635
0,77,2,-0.47810954422748253,-456.301461096691
0,78,21,-0.49604699119632467,-456.79750808788737
0,79,45,-0.5163614589905963,-457.313869546878
0,80,35,-0.5392680179896143,-457.8531375648676
0,81,23,-0.5649430639171938,-458.4180806287848
0,82,18,-0.583051157936829,-459.00113178672166
0,83,41,-0.6078001892695827,-459.60893197599125
1,1,26,-0.9958775562140215,-0.9958775562140215
1,2,21,-0.9905965364619307,-1.986474092675952
1,3,12,-0.9870641369197904,-2.9735382295957424
1,4,18,-0.9833606695754752,-3.9568988991712177
1,5,47,-0.9749619870371551,-4.931860886208373
1,6,3,-0.9709058519868494,-5.902766738195222
1,7,13,-0.9683923189504856,-6.871159057145707
1,8,21,-0.9648251265374839,-7.835984183683191
1,9,49,-0.9568117701752175,-8.792795953858409
1,10,43,-0.9479498174024941,-9.740745771260903
1,11,4,-0.9433510175714152,-10.684096788832317
1,12,45,-0.9362581841575592,-11.620354972989876
1,13,20,-0.9310691353502135,-12.55142410834009
1,14,8,-0.929375985668949,-13.48080009400904
1,15,4,-100.93467168083829,-114.41547177484733
1,16,21,-0.9301434642710256,-115.34561523911836
1,17,22,-0.9263700961636377,-116.271985335282
1,18,28,-0.9220978967814015,-117.19408323206339
1,19,44,-0.915698724835587,-118.10978195689898
1,20,41,-0.9088377789718575,-119.01861973587084
1,21,33,-0.9026745912300241,-119.92129432710087
1,22,48,-0.8955468139088598,-120.81684114100973
1,23,28,-0.8899486447420636,-121.7067897857518
1,24,46,-0.883563108327615,-122.59035289407942
1,25,4,-0.8817200127629559,-123.47207290684237
1,26,47,-0.8767558374990398,-124.3488287443414
1,27,18,-0.8741281041098176,-125.22295684845122
1,28,20,-0.8725988533038095,-126.09555570175503
1,29,50,-0.8675545353175768,-126.96311023707261
1,30,13,-0.8656771614425189,-127.82878739851513
1,31,33,-0.8626481087246913,-128.69143550723982
1,32,3,-100.86758381514574,-229.55901932238555
1,33,21,-0.8642180564996926,-230.42323737888523
1,34,26,-0.8553256683217121,-231.27856304720694
1,35,35,-0.8408478406665316,-232.11941088787347
1,36,33,-0.821266898172576,-232.94067778604605
1,37,4,-0.7977626427550557,-233.7384404288011
1,38,13,-0.7702629213904917,-234.5087033501916
1,39,3,-0.7392329524446895,-235.2479363026363
1,40,28,-0.7043592893804682,-235.95229559201678
1,41,20,-0.6661157971599124,-236.61841138917669
1,42,44,-0.6243638426142766,-237.24277523179097
1,43,46,-0.5894815209238232,-237.83225675271478
1,44,12,-0.5615042654742257,-238.393761018189
1,45,9,-0.5399651824376889,-238.9337262006267
1,46,13,-0.5243258414014154,-239.4580520420281
1,47,50,-0.5123436259957682,-239.97039566802385
1,48,46,-0.503689554722393,-240.47408522274625
1,49,28,-0.49913925104560886,-240.97322447379187
1,50,27,-0.4977741298722771,-241.47099860366416
1,51,12,-100.50392250293523,-341.97492110659937
